dmh,dis,x,y,h
XQ-001,73.021269115,569565.495,3296482.035,3741.819
XQ-001,75.0190813853,569564.655,3296480.2201,3741.1604
XQ-001,75.8702715032,569564.297,3296479.4469,3740.8798
XQ-001,77.8491136055,569563.465,3296477.6493,3740.2274
XQ-001,79.8272045863,569562.6333,3296475.8525,3739.5753
XQ-001,80.8608284128,569562.1988,3296474.9136,3739.2346
XQ-001,83.011163653,569561.2947,3296472.9605,3738.5258
XQ-001,85.354005797,569560.3098,3296470.8326,3737.7536
XQ-001,87.3351333896,569559.477,3296469.0333,3737.1006
XQ-001,88.6853125458,569558.9094,3296467.8071,3736.6556
XQ-001,89.3626042227,569558.6247,3296467.192,3736.4324
XQ-001,91.2634776831,569557.8257,3296465.4657,3735.8059
XQ-001,92.8341682582,569557.1655,3296464.0393,3735.2883
XQ-001,94.8328834252,569556.3253,3296462.2243,3734.6296
XQ-001,96.4313756001,569555.6535,3296460.7727,3734.1028
XQ-001,98.4302762002,569554.8133,3296458.9576,3733.4441
XQ-001,99.2295549338,569554.4774,3296458.2318,3733.1807
XQ-001,101.228076134,569553.6374,3296456.4171,3732.5221
XQ-001,103.726625914,569552.5873,3296454.1484,3731.6988
XQ-001,105.725647192,569551.7472,3296452.3333,3731.0401
XQ-001,107.32438313,569551.0753,3296450.8817,3730.5133
XQ-001,109.323026944,569550.2354,3296449.067,3729.8547
XQ-001,111.52254697,569549.311,3296447.07,3729.13
